last_location,average_delay,occ
"LUDHIANA (LUDI)",268.5000,2
"Vasai/hub, Vasai, MAHARASHTRA",7.2155,2
"SURAT/ROC-TML, Surat, GUJARAT",79.0000,1
PNQH,60.3333,1
"VPI/HUB, Vapi, GUJARAT",52.0000,1
"NGP/MNR, Nagpur, MAHARASHTRA",52.0000,1
"HYDERABAD HUB",49.2000,1
KNDE,20.5000,1
SURM,12.0000,1
"NEW DELHI, DELHI, IN",10.8889,1
Surat,10.7660,1
RKTM,9.0972,1
"PCK/PTD, Gurgaon, HARYANA",7.7308,1
"RTO/MLD, Mumbai, MAHARASHTRA",7.2097,1
"PCK/AGRA, Agra, UTTAR PRADESH",7.1194,1
Thane,6.4953,1
"VENGARA, Kannur, KERALA",30.0000,0
"SULTANPUR LODHI",29.0000,0
"Yadav general kirana NEW DELHI",28.0000,0
"INDORE - IND",26.0000,0
VKND,25.5000,0
ZIRAKHPUR,21.0000,0
"TAORU, HARYANA, IN",15.8333,0
ZIRAKPUR,15.0000,0
SANGAMNER,13.5000,0
"Gurugram, Haryana, IN",13.0000,0
"GURUGRAM - GGN",12.6667,0
"PEENYA E-TAIL",10.5000,0
"NOIDA-ETAIL DELIVERY/RTO",10.4000,0
FARUKHNAGAR,10.3333,0
SURYAPET,9.5000,0
"NOIDA E-TAIL CENTRE",9.5000,0
KLLM,9.0000,0
"NGP/LH1, Nagpur, MAHARASHTRA",8.8125,0
SNPD,8.2222,0
"JAIPUR HUB",8.0000,0
"MAHAIPALPUR HUB",8.0000,0
"HYDERABAD - HYD",8.0000,0
"MotherHub_DEL JHAJJHAR",8.0000,0
"ROHINI SERVICE CENTRE",8.0000,0
"PERUMBAVOOR, Kerala, IN",8.0000,0
"NGP/RTO, Nagpur, MAHARASHTRA",8.0000,0
"RajendraparkHub_DEL New Delhi",8.0000,0
"TTSPLKallakurichiODH_KLK kallakurichi",8.0000,0
"TIRUPATI OFFICE",7.3333,0
"MUMBAI KANDIVALI WAR",7.2000,0
"SARJAPUR ROAD",7.1667,0
"BENGALURU, KARNATAKA, IN",7.1304,0
GZBD,7.0000,0
SJEX,7.0000,0
SUPA,7.0000,0
VYTL,7.0000,0
NOHAR,7.0000,0
"RUDRAPUR HUB",7.0000,0
PEENYA,7.0000,0
TALCHER,7.0000,0
"RAIPUR CG - RIP",7.0000,0
TALEGAON,7.0000,0
YELAHANKA,7.0000,0
MARATHALLI,7.0000,0
VIDYANAGAR,7.0000,0
"VIRAR WEST",7.0000,0
"MALAKPET EXT",7.0000,0
"MEMCO OFFICE",7.0000,0
"VARANASI - VRS",7.0000,0
VANASTHALIPURAM,7.0000,0
"NEW THIPPASANDRA",7.0000,0
"VASAI ROAD ETAIL",7.0000,0
"HSR E-TAIL CENTRE",7.0000,0
"Naraina Hub Delhi",7.0000,0
fkl_soukyaRD,7.0000,0
"PNR SERVICE CENTRE",7.0000,0
"Zira, Zira, PUNJAB",7.0000,0
Noida,7.0000,0
"PASCHIM VIHAR ETAIL",7.0000,0
"PURI1, Puri, ORISSA",7.0000,0
"RAMA ROAD",7.0000,0
Patna,7.0000,0
"Tohana, TOHANA, PUNJAB",7.0000,0
"Vikram Kirana BAREILLY",7.0000,0
"Hosur, Tamil Nadu, IN",7.0000,0
Umaria,7.0000,0
"CHENNAI, TAMIL NADU, IN",7.0000,0
PARRYS,7.0000,0
"INTERNATIONAL TECH PARK",7.0000,0
"Motherhub_LKO_Flex Lucknow",7.0000,0
"NAJAFGARH E-TAIL CENTER",7.0000,0
"Saharsa, Saharsa, BIHAR",7.0000,0
Vettichira,7.0000,0
"VrindavanHub_MTH Mathura",7.0000,0
"PAT/PCK, Patna, BIHAR",7.0000,0
"SURAT/SRT, Surat, GUJARAT",7.0000,0
"ShyamnagarHub_KOL Kolkata",7.0000,0
"SBP/HUB, Sambalpur, ORISSA",7.0000,0
"manesar1, Delhi NCR, DELHI",7.0000,0
"SONAIMUKH, SONAIMUKH, ASSAM",7.0000,0
"Vatadara, Vatadara, GUJARAT",7.0000,0
"PNQ/MGR, PUNE, MAHARASHTRA",7.0000,0
"SamaypurbadliHub_DEL Gurugram",7.0000,0
Tiruppattur,7.0000,0
"RTO/VST, BANGALORE, KARNATAKA",7.0000,0
"WheeleyRatanpurODH_PAB Bilaspur",7.0000,0
"Vidisha, VIDISHA, MADHYA PRADESH",7.0000,0
"Waidhan, Waidhan, MADHYA PRADESH",7.0000,0
"SIKAR, Sikar, RAJASTHAN",7.0000,0
"TRICHY, Trichy, TAMIL NADU",7.0000,0
"VentureFirstKalikiriODH_KAL Kalikiri",7.0000,0
Visakhapatnam,7.0000,0
"TTSPLParamathiVelurODH_VLR Paramathi velur",7.0000,0
VASM,6.9444,0
"ULHAS NAGAR",6.8636,0
"PAT/LH1, Patna, BIHAR",6.8333,0
VZGP,6.8182,0
"RAN/HUB, Ranchi, JHARKHAND",6.7143,0
TRINITY,6.6667,0
"WAZIRPUR E-TAIL",6.6667,0
"MotherHub_HYP Hyderabad",6.6667,0
"NEW TOWN, WEST BENGAL, IN",6.6667,0
"Motherhub_DIC Delhi",6.6429,0
"PUNE HUB",6.5556,0
"Motherhub_ABD Ahmedabad",6.5000,0
Vijayawada,6.5000,0
"RAM MURTHY NAGAR",6.5000,0
"UNNAO, UTTAR PRADESH, IN",6.5000,0
"NOIDA PHASE II ETAIL",6.5000,0
"VasantKunj Hub Delhi",6.5000,0
"PUNE, MAHARASHTRA, IN",6.5000,0
"VASAI VIRAR, MAHARASHTRA, IN",6.5000,0
YESHWANTPUR,6.4000,0
RJCX,6.3906,0
"PCK/BJE, Delhi NCR, DELHI",6.3836,0
"NEW DELHI",6.3750,0
"VZG AIR HUB",6.3750,0
"PATNA AIR HUB",6.3529,0
HSRL,6.3333,0
JAYANAGAR,6.3333,0
"MundkaHub_DEL Delhi",6.3333,0
"OKHLA E-TAIL DELIVERY",6.3333,0
"Vikashpurihub_DEL Delhi",6.3333,0
"R T NAGAR SERVICE CENTRE",6.3333,0
"TPT/HUB, Tirupati, ANDHRA PRADESH",6.3333,0
"OVALI ETAIL UNIT",6.3235,0
"SURAT/LH1, Surat, GUJARAT",6.3011,0
"MUMBAI ETAIL WAREHOU",6.3000,0
RMRN,6.2500,0
"OVALI ETAIL HUB",6.2500,0
"PCK/EDL, Delhi NCR, DELHI",6.2500,0
"RKT/PC, Rajkot, GUJARAT",6.2143,0
"RAJARAJESHWARI NAGAR",6.2000,0
"PCK/KNP, Kanpur, UTTAR PRADESH",6.2000,0
HIRANKUDNA,6.1667,0
"SECUNDERABAD HUB",6.1667,0
"ROHINI ETAIL UNIT",6.1509,0
"JAI/LH1, Jaipur, RAJASTHAN",6.1429,0
"PNQ/LH1, PUNE, MAHARASHTRA",6.1250,0
"UPH, Lucknow, UTTAR PRADESH",6.1053,0
"MotherHub_FRK Farukhnagar",6.1000,0
VASAI,6.0909,0
KORAMANGALA,6.0811,0
"PARIMAL GARDEN E-TAIL",6.0667,0
"SURAT GROUND HUB",6.0556,0
"SURAT AIR HUB",6.0000,0
JPNG,6.0000,0
YLKA,6.0000,0
HYDH,6.0000,0
PMPC,6.0000,0
MANN,6.0000,0
MAYA,6.0000,0
MKPV,6.0000,0
MOGA,6.0000,0
MYSR,6.0000,0
NIDA,6.0000,0
PATH,6.0000,0
SPET,6.0000,0
TONK,6.0000,0
UPPL,6.0000,0
VIJA,6.0000,0
"KAPASHERA HUB",6.0000,0
"RJK WAREHOUSE",6.0000,0
MEHAM,6.0000,0
WORLI,6.0000,0
Theni,6.0000,0
VYARA,6.0000,0
"JODHPUR TRANSIT HUB",6.0000,0
"HUBLI WAREHOUSE",6.0000,0
ETAWAH,6.0000,0
KALOL,6.0000,0
"NAVIMUMBAI ETAIL W/HOUSE",6.0000,0
LOHARU,6.0000,0
"VASHI MINI HUB",6.0000,0
UPPINANGADY,6.0000,0
RANCHI,6.0000,0
Valsad,6.0000,0
"PATALGANGA HUB",6.0000,0
"MEERUT HUB",6.0000,0
Nadia,6.0000,0
NARAINA,6.0000,0
PURBALOK,6.0000,0
YADGIR,6.0000,0
VARTHUR,6.0000,0
VELLORE,6.0000,0
"XMI RTOS",6.0000,0
WAGHOLI,6.0000,0
"LUCKNOW AIR HUB",6.0000,0
Hyderabad,6.0000,0
"TRV MINI HUB",6.0000,0
"SardhanaHub_SAR SARDHANA",6.0000,0
"GANDHIBAZAARHUB_ATP ANANTAPUR",6.0000,0
"DLF CYBER CITY",6.0000,0
GANDHINAGAR,6.0000,0
"PATHANKOT COUNTER",6.0000,0
"KOCHIN HUB",6.0000,0
KAPASHERA,6.0000,0
"VASANT VIHAR",6.0000,0
KUSHKHERA,6.0000,0
"NASIK MINI HUB",6.0000,0
"RanibaghHub_DEL New Delhi",6.0000,0
PRAYAGRAJ,6.0000,0
RADHANPUR,6.0000,0
RAEBARELI,6.0000,0
RATNAGIRI,6.0000,0
ZUNHEBOTO,6.0000,0
"KOLKATA HUB",6.0000,0
"DELHI HUB",6.0000,0
"KOM SERVICE CENTRE",6.0000,0
KALABURAGI,6.0000,0
KISHANGARH,6.0000,0
"SAROLI ETAIL OPERATIONS",6.0000,0
SOMAJIGUDA,6.0000,0
SANTACRUZ,6.0000,0
DAVANGERE,6.0000,0
"NAHUR MINI HUB",6.0000,0
PALLIKARNAI,6.0000,0
"TIRUNELVELI HUB",6.0000,0
"BENGALURU HUB",6.0000,0
DODBALLAPURA,6.0000,0
"SURAT, GUJARAT, IN",6.0000,0
SECUNDERABAD,6.0000,0
"TURKA YAMJAL",6.0000,0
"CHENNAI - MAA",6.0000,0
"FARIDABAD NIT",6.0000,0
"MUMBAI ETAIL CENTRE",6.0000,0
"VIJAYAWADA HUB",6.0000,0
"RANPUR OFFICE",6.0000,0
"PURI EXPANSION",6.0000,0
"QUILANDI BAZAR",6.0000,0
"TALWANDI SABOO",6.0000,0
Vishakhapatnam,6.0000,0
"GUWAHATI HUB",6.0000,0
"SHYAMNAGAR BDEL",6.0000,0
"Verna Hub Verna",6.0000,0
"HSR LAYOUT (HSRL)",6.0000,0
"SAFDARJUNG ETAIL",6.0000,0
"DELHI CONTINGENCY HU",6.0000,0
"GHAZIABAD GT ROAD",6.0000,0
"KOCHI, KERALA, IN",6.0000,0
"PIDUGURALLA REACH",6.0000,0
"SAMASTIPUR OFFICE",6.0000,0
"VILE PARLE E-TAIL",6.0000,0
"Valsad Hub Valsad",6.0000,0
"MANYATHA TECH PARK",6.0000,0
"NAROL ETAIL CENTRE",6.0000,0
"NEW FRIENDS COLONY",6.0000,0
"PATNA ANISABAD PUD",6.0000,0
"SaketHub_DEL Delhi",6.0000,0
"VASANTKUNJ COUNTER",6.0000,0
"GOPINATH BAZAR HUB",6.0000,0
"PinkCity Hub Jaipur",6.0000,0
"SANGRUR AREA OFFICE",6.0000,0
"SENAPATI BAPAT ROAD",6.0000,0
"THAMBU CHETTY PALYA",6.0000,0
"PALAM SERVICE CENTRE",6.0000,0
"Peeragarhi Hub Delhi",6.0000,0
"Rourkela, Odisha, IN",6.0000,0
"UttamNagar Hub Delhi",6.0000,0
"PCK/FBD, Delhi NCR, DELHI",6.0000,0
Nellore,6.0000,0
"Panvel/HUB, Navi Mumbai, MAHARASHTRA",6.0000,0
"Tezpur, Tezpur, ASSAM",6.0000,0
"JHILMIL E-TAIL CENTRE",6.0000,0
"KUKATPALLY Y JUNCTION",6.0000,0
"Ramaroadhub_DEL Delhi",6.0000,0
"Shashi Kala NEW DELHI",6.0000,0
"Mumbai, MAHARASHTRA, IN",6.0000,0
"Koppal, Karanataka, IN",6.0000,0
"LUCKNOW SERVICE CENTRE",6.0000,0
Varapuzha,6.0000,0
"SAKET  E-TAIL DELIVERY",6.0000,0
"THORRUR, TELANGANA, IN",6.0000,0
"TRICHUR SERVICE CENTRE",6.0000,0
"Motherhub_JKS Gurgaon",6.0000,0
Warangal,6.0000,0
Pondicherry,6.0000,0
"NAGPUR, MAHARASHTRA, IN",6.0000,0
"NOIDA SECTOR 63",6.0000,0
"NEW TOWN SERVICE CENTRE",6.0000,0
"NOIDA, Delhi NCR, DELHI",6.0000,0
"ROHINI ETAIL DELIVERIES",6.0000,0
"ROHTAK, Rohtak, HARYANA",6.0000,0
"Rewari, Rewari, HARYANA",6.0000,0
"UDYOGVIHAR ETAIL CENTRE",6.0000,0
"Vansda, Vansda, GUJARAT",6.0000,0
"J P NAGAR SERVICE CENTRE",6.0000,0
"LASTMILE E-TAIL DELIVERY",6.0000,0
"NARANPURA SERVICE CENTRE",6.0000,0
Udupi,6.0000,0
"TIRUPPUR, TAMIL NADU, IN",6.0000,0
"TOLICHOWKI E-TAIL CENTRE",6.0000,0
"Udhna GJ, Surat, GUJARAT",6.0000,0
"YavatmalHub_YTM Yavatmal",6.0000,0
"JIGANI - OPS FROM ELE/BLR",6.0000,0
"OKHLA E-TAIL DELIVERY EXT",6.0000,0
"Ramsar, Ramsar, RAJASTHAN",6.0000,0
"Thanjavur, Tamil Nadu, IN",6.0000,0
"VARKALAHUB_VKL Trivandrum",6.0000,0
"Vatika, Jaipur, RAJASTHAN",6.0000,0
Fkl-BLRAnjaniHoskote,6.0000,0
"Motherhub_ANJ Bangalore",6.0000,0
"Jaipur City, Jaipur, RAJASTHAN",6.0000,0
"Motherhub_Hub Dharwad",6.0000,0
"Mysore, Mysore, KARNATAKA",6.0000,0
"RajpurroadHub_DED Dehradun",6.0000,0
"Siwan, Maharajaganj, BIHAR",6.0000,0
"Vinay kirana gdp NEW DELHI",6.0000,0
"Ramanagarahub_RMG Ramanagar",6.0000,0
"Tumsar, Tumsar, MAHARASHTRA",6.0000,0
"Varanasi, Uttar Pradesh, IN",6.0000,0
"PNP/HUB, Panipat, HARYANA",6.0000,0
"KAJALGAON, Bongaigaon, ASSAM",6.0000,0
"NAVI MUMBAI, MAHARASHTRA, IN",6.0000,0
"Raipur Rani, AMBALA, HARYANA",6.0000,0
"Shweta kashwalia store JAMMU",6.0000,0
"PCK/Bhilwara, Bhilwara, RAJASTHAN",6.0000,0
Tarantaran,6.0000,0
"PCK/SEC, Hyderabad, TELANGANA",6.0000,0
"Makroniya MP, MAKRONIYA, MADHYA PRADESH",6.0000,0
"Rewa MP, Rewa, MADHYA PRADESH",6.0000,0
"TTSPLKhopolisplitODH_KPL PUNE",6.0000,0
"Kailashahar, AGARTALA, TRIPURA",6.0000,0
"PNQ/TLG, Telegaon, MAHARASHTRA",6.0000,0
"Totu, Shimla, HIMACHAL PRADESH",6.0000,0
"Rudrapur, Rudrapur, UTTARAKHAND",6.0000,0
"SLG/HUB, SILIGURI, WEST BENGAL",6.0000,0
"RTO/BRY, BANGALORE, KARNATAKA",6.0000,0
"Rawatbhata, Rawatbhata, RAJASTHAN",6.0000,0
"YAMUNANAGAR, Yamunanagar, HARYANA",6.0000,0
Viramgam,6.0000,0
"Saltlake-TML, Kolkata, WEST BENGAL",6.0000,0
"Turkayamjal1, Hyderabad, TELANGANA",6.0000,0
"LKO/LH1, Lucknow, UTTAR PRADESH",6.0000,0
"Raebareli, Raebareli, UTTAR PRADESH",6.0000,0
"SAHARANPUR, SAHARANPUR, UTTAR PRADESH",6.0000,0
"SXR/NGM1, Srinagar, JAMMU AND KASHMIR",6.0000,0
"Surat Sort Facility Surat",6.0000,0
"Vrinadavan Lko, Lucknow, UTTAR PRADESH",6.0000,0
"Yemmiganur, Yemmiganur, ANDHRA PRADESH",6.0000,0
"Sri Ramapuram, Sri Rampuram, TAMIL NADU",6.0000,0
"Picnic Garden-TML, Kolkata, WEST BENGAL",6.0000,0
"THIRUKKOVILUR, THIRUKOVILUR, TAMIL NADU",6.0000,0
"VPT/SCLM, Visakhapatnam, ANDHRA PRADESH",6.0000,0
"YELLAMANCHILIHUBtemp_YLM Vishakhapatnam",6.0000,0
"Shri Vijaynagar, Shri Vijainagar, RAJASTHAN",6.0000,0
"TIRUNELVELI/WEST-TML, TIRUNELVELI, TAMIL NADU",6.0000,0
MULM,5.9524,0
"MUMBAI HUB",5.9286,0
"VIJAYNAGAR MINI HUB",5.9167,0
"VIJ/LH1, Vijayawada, ANDHRA PRADESH",5.9167,0
RHNI,5.9000,0
"GURGAON CPC",5.8947,0
"PCK/OKH, Delhi NCR, DELHI",5.8889,0
VARANASI,5.8750,0
WADALA,5.8571,0
"MAYUR VIHAR",5.8571,0
OKHL,5.8462,0
"RTO/MAT, BANGALORE, KARNATAKA",5.8333,0
"PCK/WDL, Delhi NCR, DELHI",5.8000,0
"UDI/HUB, Udaipur, RAJASTHAN",5.8000,0
ZKPR,5.7857,0
PHAGWARA,5.7500,0
"VIJAYAWADA, ANDHRA PRADESH, IN",5.7500,0
"RAJKOT ETAIL CENTER",5.7273,0
OKHLA,5.7143,0
PNYX,5.7059,0
SKHX,5.6842,0
"INDIRAPURAM SERVICECENTRE",5.6667,0
"KUNDLI AIR HUB",5.6667,0
"PUNE - PNQ",5.6667,0
Nagpur,5.6667,0
"SURAT - SUR",5.6667,0
"SILCHAR HUB",5.6667,0
"SALT LAKE BDEL",5.6667,0
"Majra, Dehradun, UTTARAKHAND",5.6667,0
"VNS/LH1, VARANASI, UTTAR PRADESH",5.6111,0
FDBD,5.5000,0
IXCH,5.5000,0
LPRL,5.5000,0
SECB,5.5000,0
"TTSPLNagdaODH_NGD Nagda",5.5000,0
TAVAREKERE,5.5000,0
SELAIYUR,5.5000,0
Trisshur,5.5000,0
Trivandrum,5.5000,0
"TajganjHub_AGR Agra",5.5000,0
"RTO/MAZ, Mumbai, MAHARASHTRA",5.5000,0
"SHAHJAHANPUR EXPANSION",5.5000,0
"JHILMIL INDUSTRIAL AREA",5.5000,0
"TTSPLTheniODH_THN Theni",5.5000,0
"HYDERABAD, TELANGANA, IN",5.5000,0
"MAHALAKSHMI PURAM  ETAIL",5.5000,0
"TrimurtiNagar Hub Nagpur",5.5000,0
"IDR/MSR, Indore, MADHYA PRADESH",5.5000,0
"Ukwa, Ukwa, MADHYA PRADESH",5.5000,0
"ZIENUOBADZE, Kohima, NAGALAND",5.5000,0
"VPT/HUB, Visakhapatnam, ANDHRA PRADESH",5.5000,0
"TRANSPORT NAGAR",5.3333,0
"Sirsa, Sirsa, HARYANA",5.3333,0
SABG,5.2500,0
"SILIGURI WAREHOUSE",5.2500,0
WTFD,5.2105,0
"KOLKATA, WEST BENGAL, IN",5.2000,0
CHSK,5.0000,0
BOMH,5.0000,0
NGPR,5.0000,0
DMLR,5.0000,0
DNGR,5.0000,0
HRBS,5.0000,0
KADM,5.0000,0
MEER,5.0000,0
MIRM,5.0000,0
MSRS,5.0000,0
PCAR,5.0000,0
PRGN,5.0000,0
SLTE,5.0000,0
THNM,5.0000,0
VAPM,5.0000,0
Verna,5.0000,0
WALUJ,5.0000,0
MANALI,5.0000,0
NADIAD,5.0000,0
ROHTAK,5.0000,0
Dharwad,5.0000,0
Uluberia,5.0000,0
TEHATTA,5.0000,0
"VelloreHubtemp_VLR Vellore",5.0000,0
PERAMBUR,5.0000,0
VejalpurHub_ADI,5.0000,0
"THALTEJ ETAIL OFFICE",5.0000,0
NAZAFGARH,5.0000,0
Tiruvalla,5.0000,0
UMBERGAON,5.0000,0
"TTSPLKavandapadiODH_KVN Kavindapadi",5.0000,0
Yamunanagar,5.0000,0
PURASAWALKAM,5.0000,0
"SurendraNagarHub_SDR Surendranagar",5.0000,0
"TRANSPORT NAGAR LUCKNOW (LCKT)",5.0000,0
"Vimala MALAPPURAM",5.0000,0
Pune,5.0000,0
"WarjeHub_PUNE Warje",5.0000,0
"EXTN OF WEST DEL W/H",5.0000,0
"Tarun kumar DEHRADUN",5.0000,0
"ERNAKULAM, KERALA, IN",5.0000,0
"JAIPUR VIDHADHAR NAGAR",5.0000,0
"VISAKHAPATNAM, ANDHRA PRADESH, IN",5.0000,0
"SomesarMDH_JDH Jodhpur",5.0000,0
"VISHNU STORE NEW DELHI",5.0000,0
"PCK/HISSAR, Hissar, HARYANA",5.0000,0
"Peelamedu Hub Coimbatore",5.0000,0
"Cuddalore, Tamil Nadu, IN",5.0000,0
"PCK/LUD, Ludhiana, PUNJAB",5.0000,0
"SONIPAT, Panipat, HARYANA",5.0000,0
"JLD/JUC, Jalandhar, PUNJAB",5.0000,0
"Phagwara, PHAGWARA, PUNJAB",5.0000,0
"PhullanwalODH_PHU Ludhiana",5.0000,0
Trichy,5.0000,0
Tikamgarh,5.0000,0
THRISSUR,5.0000,0
"NGP/TEX, Nagpur, MAHARASHTRA",5.0000,0
"VettichiraHub_VTT Vettichira",5.0000,0
"TRIPPUNITHURA, Cochin, KERALA",5.0000,0
"MRT/GNG, Meerut, UTTAR PRADESH",5.0000,0
"VRS/NSR, VARANASI, UTTAR PRADESH",5.0000,0
"RAIPUR/HUB, Raipur, CHHATTISGARH",5.0000,0
"Vijayapura1, Vijayapura, KARNATAKA",5.0000,0
"Pilibhit, Pilibhit, UTTAR PRADESH",5.0000,0
"JBL/HUB, Jabalpur, MADHYA PRADESH",5.0000,0
"Perinthalmanna, Malappuram, KERALA",5.0000,0
"Sripur Bazar, Asansol, WEST BENGAL",5.0000,0
"MORADABAD, Moradabad, UTTAR PRADESH",5.0000,0
"Sankeshwar 1, Sankeshwar, KARNATAKA",5.0000,0
"UNA, UNA, HIMACHAL PRADESH",5.0000,0
"Math Laxmipur, Bareilly, UTTAR PRADESH",5.0000,0
"Shahjahanpur, Shahijahanpur, UTTAR PRADESH",5.0000,0
"RSC/Farrukhabad, Farrukhabad, UTTAR PRADESH",5.0000,0
